#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    37   0.117195E+04   0.150770E+01   0.101762E-02   0.574180E-01   0.105349E-02   0.150770E+01   0.433976E-01  -0.140207E-05   0.355911E-05   0.464848E-07   0.101762E-02  -0.140207E-05   0.137319E-06   0.701454E-05   0.154333E-06   0.574180E-01   0.355911E-05   0.701454E-05   0.198559E-02   0.240539E-04   0.105349E-02   0.464848E-07   0.154333E-06   0.240539E-04   0.984271E-06
    38   0.119147E+04   0.145656E+01   0.989740E-03   0.559959E-01   0.102489E-02   0.145656E+01   0.474394E-01  -0.130952E-05   0.345677E-05   0.452976E-07   0.989740E-03  -0.130952E-05   0.136908E-06   0.701469E-05   0.153781E-06   0.559959E-01   0.345677E-05   0.701469E-05   0.203621E-02   0.246314E-04   0.102489E-02   0.452976E-07   0.153781E-06   0.246314E-04   0.100225E-05
    39   0.121108E+04   0.139738E+01   0.962756E-03   0.546161E-01   0.997388E-03   0.139738E+01   0.517462E-01  -0.119923E-05   0.328584E-05   0.434618E-07   0.962756E-03  -0.119923E-05   0.136457E-06   0.701036E-05   0.153192E-06   0.546161E-01   0.328584E-05   0.701036E-05   0.208541E-02   0.251966E-04   0.997388E-03   0.434618E-07   0.153192E-06   0.251966E-04   0.101979E-05
    40   0.123071E+04   0.132961E+01   0.936949E-03   0.532740E-01   0.970944E-03   0.132961E+01   0.563043E-01  -0.108602E-05   0.307735E-05   0.412377E-07   0.936949E-03  -0.108602E-05   0.135968E-06   0.700221E-05   0.152569E-06   0.532740E-01   0.307735E-05   0.700221E-05   0.213328E-02   0.257508E-04   0.970944E-03   0.412377E-07   0.152569E-06   0.257508E-04   0.103690E-05
    41   0.125028E+04   0.125295E+01   0.912523E-03   0.519660E-01   0.945508E-03   0.125295E+01   0.611045E-01  -0.982389E-06   0.285723E-05   0.388367E-07   0.912523E-03  -0.982389E-06   0.135444E-06   0.699083E-05   0.151917E-06   0.519660E-01   0.285723E-05   0.699083E-05   0.217994E-02   0.262955E-04   0.945508E-03   0.388367E-07   0.151917E-06   0.262955E-04   0.105359E-05
    42   0.126978E+04   0.116798E+01   0.889392E-03   0.506914E-01   0.921027E-03   0.116798E+01   0.661563E-01  -0.891456E-06   0.263082E-05   0.362741E-07   0.889392E-03  -0.891456E-06   0.134888E-06   0.697676E-05   0.151239E-06   0.506914E-01   0.263082E-05   0.697676E-05   0.222554E-02   0.268318E-04   0.921027E-03   0.362741E-07   0.151239E-06   0.268318E-04   0.106986E-05
    43   0.128925E+04   0.107513E+01   0.867397E-03   0.494501E-01   0.897448E-03   0.107513E+01   0.714732E-01  -0.814015E-06   0.239837E-05   0.335165E-07   0.867397E-03  -0.814015E-06   0.134301E-06   0.696047E-05   0.150539E-06   0.494501E-01   0.239837E-05   0.696047E-05   0.227022E-02   0.273612E-04   0.897448E-03   0.335165E-07   0.150539E-06   0.273612E-04   0.108573E-05
    44   0.130874E+04   0.973219E+00   0.846379E-03   0.482422E-01   0.874716E-03   0.973219E+00   0.770668E-01  -0.750858E-06   0.216011E-05   0.305304E-07   0.846379E-03  -0.750858E-06   0.133686E-06   0.694249E-05   0.149819E-06   0.482422E-01   0.216011E-05   0.694249E-05   0.231414E-02   0.278851E-04   0.874716E-03   0.305304E-07   0.149819E-06   0.278851E-04   0.110121E-05
    45   0.132834E+04   0.860747E+00   0.826180E-03   0.470678E-01   0.852779E-03   0.860747E+00   0.829459E-01  -0.702775E-06   0.191627E-05   0.272823E-07   0.826180E-03  -0.702775E-06   0.133047E-06   0.692329E-05   0.149085E-06   0.470678E-01   0.191627E-05   0.692329E-05   0.235745E-02   0.284047E-04   0.852779E-03   0.272823E-07   0.149085E-06   0.284047E-04   0.111631E-05
    46   0.134801E+04   0.736737E+00   0.806658E-03   0.459273E-01   0.831589E-03   0.736737E+00   0.891140E-01  -0.669685E-06   0.166984E-05   0.237886E-07   0.806658E-03  -0.669685E-06   0.132385E-06   0.690335E-05   0.148338E-06   0.459273E-01   0.166984E-05   0.690335E-05   0.240030E-02   0.289213E-04   0.831589E-03   0.237886E-07   0.148338E-06   0.289213E-04   0.113104E-05
    47   0.136775E+04   0.600385E+00   0.787743E-03   0.448224E-01   0.811119E-03   0.600385E+00   0.955663E-01  -0.648012E-06   0.143473E-05   0.202645E-07   0.787743E-03  -0.648012E-06   0.131703E-06   0.688297E-05   0.147581E-06   0.448224E-01   0.143473E-05   0.688297E-05   0.244282E-02   0.294359E-04   0.811119E-03   0.202645E-07   0.147581E-06   0.294359E-04   0.114540E-05
    48   0.138754E+04   0.450915E+00   0.769380E-03   0.437554E-01   0.791348E-03   0.450915E+00   0.102289E+00  -0.633310E-06   0.122765E-05   0.169752E-07   0.769380E-03  -0.633310E-06   0.131002E-06   0.686244E-05   0.146815E-06   0.437554E-01   0.122765E-05   0.686244E-05   0.248515E-02   0.299493E-04   0.791348E-03   0.169752E-07   0.146815E-06   0.299493E-04   0.115941E-05
    49   0.140736E+04   0.287623E+00   0.751516E-03   0.427284E-01   0.772256E-03   0.287623E+00   0.109267E+00  -0.621129E-06   0.106525E-05   0.141858E-07   0.751516E-03  -0.621129E-06   0.130284E-06   0.684203E-05   0.146043E-06   0.427284E-01   0.106525E-05   0.684203E-05   0.252743E-02   0.304625E-04   0.772256E-03   0.141858E-07   0.146043E-06   0.304625E-04   0.117306E-05
    50   0.142727E+04   0.109946E+00   0.734096E-03   0.417437E-01   0.753822E-03   0.109946E+00   0.116497E+00  -0.607022E-06   0.964222E-06   0.121613E-07   0.734096E-03  -0.607022E-06   0.129550E-06   0.682202E-05   0.145265E-06   0.417437E-01   0.964222E-06   0.682202E-05   0.256980E-02   0.309761E-04   0.753822E-03   0.121613E-07   0.145265E-06   0.309761E-04   0.118638E-05
    51   0.144735E+04  -0.822276E-01   0.717092E-03   0.408027E-01   0.736026E-03  -0.822276E-01   0.123979E+00  -0.588129E-06   0.934841E-06   0.110903E-07   0.717092E-03  -0.588129E-06   0.128803E-06   0.680265E-05   0.144484E-06   0.408027E-01   0.934841E-06   0.680265E-05   0.261237E-02   0.314911E-04   0.736026E-03   0.110903E-07   0.144484E-06   0.314911E-04   0.119936E-05
    52   0.146754E+04  -0.287395E+00   0.700567E-03   0.399046E-01   0.718853E-03  -0.287395E+00   0.131724E+00  -0.567943E-06   0.961778E-06   0.108553E-07   0.700567E-03  -0.567943E-06   0.128043E-06   0.678406E-05   0.143701E-06   0.399046E-01   0.961778E-06   0.678406E-05   0.265525E-02   0.320076E-04   0.718853E-03   0.108553E-07   0.143701E-06   0.320076E-04   0.121201E-05
    53   0.148778E+04  -0.503859E+00   0.684608E-03   0.390479E-01   0.702287E-03  -0.503859E+00   0.139742E+00  -0.551548E-06   0.102331E-05   0.112620E-07   0.684608E-03  -0.551548E-06   0.127272E-06   0.676633E-05   0.142915E-06   0.390479E-01   0.102331E-05   0.676633E-05   0.269852E-02   0.325258E-04   0.702287E-03   0.112620E-07   0.142915E-06   0.325258E-04   0.122434E-05
    54   0.150804E+04  -0.730786E+00   0.669303E-03   0.382309E-01   0.686313E-03  -0.730786E+00   0.148044E+00  -0.544025E-06   0.109770E-05   0.121164E-07   0.669303E-03  -0.544025E-06   0.126490E-06   0.674956E-05   0.142128E-06   0.382309E-01   0.109770E-05   0.674956E-05   0.274225E-02   0.330460E-04   0.686313E-03   0.121164E-07   0.142128E-06   0.330460E-04   0.123634E-05
    55   0.152834E+04  -0.967707E+00   0.654740E-03   0.374522E-01   0.670916E-03  -0.967707E+00   0.156644E+00  -0.550458E-06   0.116323E-05   0.132243E-07   0.654740E-03  -0.550458E-06   0.125699E-06   0.673384E-05   0.141341E-06   0.374522E-01   0.116323E-05   0.673384E-05   0.278653E-02   0.335683E-04   0.670916E-03   0.132243E-07   0.141341E-06   0.335683E-04   0.124803E-05
    56   0.154878E+04  -0.121503E+01   0.640964E-03   0.367101E-01   0.656078E-03  -0.121503E+01   0.165543E+00  -0.573568E-06   0.120188E-05   0.144007E-07   0.640964E-03  -0.573568E-06   0.124899E-06   0.671924E-05   0.140554E-06   0.367101E-01   0.120188E-05   0.671924E-05   0.283143E-02   0.340927E-04   0.656078E-03   0.144007E-07   0.140554E-06   0.340927E-04   0.125941E-05
    57   0.156947E+04  -0.147413E+01   0.627858E-03   0.360025E-01   0.641777E-03  -0.147413E+01   0.174734E+00  -0.606633E-06   0.121051E-05   0.154974E-07   0.627858E-03  -0.606633E-06   0.124092E-06   0.670574E-05   0.139767E-06   0.360025E-01   0.121051E-05   0.670574E-05   0.287697E-02   0.346190E-04   0.641777E-03   0.154974E-07   0.139767E-06   0.346190E-04   0.127048E-05
    58   0.159036E+04  -0.174593E+01   0.615260E-03   0.353271E-01   0.627989E-03  -0.174593E+01   0.184209E+00  -0.640571E-06   0.118970E-05   0.163752E-07   0.615260E-03  -0.640571E-06   0.123278E-06   0.669331E-05   0.138980E-06   0.353271E-01   0.118970E-05   0.669331E-05   0.292317E-02   0.351466E-04   0.627989E-03   0.163752E-07   0.138980E-06   0.351466E-04   0.128124E-05
